recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Pork Hock and Mung Beans with Vermicelli (Ginisang Monggo with Pata at Sotanghon),10 minutes,1 hour 10 minutes,1 hour 20 minutes,5,3 lbs. pork hocks cleaned | 1 1/2 cups mung beans washed | 1 ounce sotanghon | 2 teaspoons beef powder | 1 onion chopped | 5 garlic chopped | 3 tomatoes diced | 2 cups baby spinach | 8 cups water | Fish sauce and ground black pepper to taste | 3 tablespoons cooking oil,"Boil the pork hock in 4 cups of water for 10 minutes. Drain the water and then wash the pork to ensure that it is clean. Set aside. | Heat oil in a cooking pot. Saute garlic, onion and tomatoes. | Once the onion and tomato soften, add the mung beans. Saut for 30 seconds. | Pour 4 cups of water into the pot. Add the pork hock. Let boil. Cover and simmer for 50 to 60 minutes or until the pork tenderizes. Occasionally stir every 10 minutes and add more water as necessary. | Add the sotanghon noodles. Stir. Continue cooking in low heat for 3 to 5 minutes. The mung beans should be soft and somewhat creamy at this point. | Add the beef powder and then season with fish sauce and ground black pepper. Stir. | Add the spinach. Turn off the heat and then cover the pot for 1 minute. | Gently stir until the spinach mixes with the other ingredients in the pot. | Serve hot with rice. | Share and enjoy!",pork | mung bean | sotanghon | beef powder | tomato | baby spinach
Ginataang Kalabasa,15 minutes,50 minutes,1 hour 5 minutes,6,3 lbs. kalabasa cubed | 18 pieces string beans cut into 2-inch pieces | 1 1/2 lbs. pork belly diced | 24 ounces coconut milk | 2 tablespoon shrimp paste | 1 onion chopped | 3 thumbs ginger julienned | 8 cloves garlic | 8 grams Maggi Magic Sarap | 1 cup water,"Heat the wok and then sear the pork until enough fat renders. Move the pork aside, and saut garlic, onion, and ginger in the pork fat. | Once the onion softens, pour the coconut milk. Cover and simmer for 40 to 50 minutes. | Add shrimp paste and water. Let boil. | Add the kalabasa. Cover the wok. Cook for 8 minutes. | Put the string beans in. Stir. Continue cooking for 5 minutes. | Season with Maggi Magic Sarap. | Serve. Share and enjoy!",kalabasa | sitaw | pork | coconut milk | thumbs ginger
Sinigang Sa Miso,30 minutes,40 minutes,1 hour 10 minutes,4,2 lbs. bangus milkfish cleaned and sliced | 25 g Maggi Magic Sinigang sa Sampaloc | 1 bunch fresh kangkong leaves | 12 string beans cut into 2 inch pieces | 10 okra | 4 pieces long green pepper | 2 tomatoes wedged | 2 tablespoons miso | 1 yellow onion wedged | Fish sauce and ground black pepper to taste | 2 teaspoons salt | 2 quarts water | 3 tablespoons cooking oil,"Rub salt all over the fish. Let it stay for 10 minutes. | Heat oil in a pot. Fry each side of the fish for 1 1/2 minutes. Remove the fish from the pot and set it aside. | Using the remaining oil, add onion and half of the tomato, and miso. Saute for 2 minutes. | Put the fish back into the pot and then pour water. Let it boil. | Cover and cook using low to medium heat setting for 10 minutes, | Add Maggi Magic Sinigang sa Sampaloc. Stir. Cook for 2 minutes. | Add long green pepper, string beans, and okra. Stir. Cover and cook for 5 to 7 minutes. | Add fish sauce and ground black pepper. Stir. | Put the kangkong leaves into the pot. Cover the pot and turn the heat off. Let it stay for 5 minutes. | Transfer to a serving bowl. Serve. | Share and enjoy!",bangus milkfish | kangkong | sitaw | okra | long green pepper | tomato | miso
Pork Ribs Caldereta,15 minutes,1 hour 18 minutes,1 hour 33 minutes,5,2 lbs.  pork ribs | 8 ounces tomato sauce | 3 tablespoons soy sauce | 1 piece potato  diced | 1 piece carrot  sliced | 2 pieces bell pepper  sliced | 3/4 cup green peas  frozen | 5 tablespoons liver spread | 1 piece onion  chopped | 4 cloves garlic  crushed | 2 pieces Thai chili pepper  chopped | 2 cups beef broth | 3 tablespoons cooking oil | Salt and ground black pepper to taste,"Marinate pork ribs in soy sauce for 5 minutes. | Heat oil in a wok. Saut onion and garlic. | Once the onion softens, add pork spareribs. Saute until the ribs turns light brown in color. | Pour tomato sauce and beef broth. Stir and let boil. | Add beef broth. Cover the pan and then cook for 1 hour or until the meat gets tender. | Add liver spread and chili pepper. Stir. | Add carrot and potato and more water, as needed. Cover and cook for 5 minutes. | Stir-in bell peppers and green peas. Cook for 3 minutes. | Season with ground black pepper and salt. | Transfer to a serving bowl and serve along with warm rice. | Share and enjoy.",pork | tomato sauce | potato | carrot | bell pepper | green pea | liver spread | thai chili pepper | beef broth
How to Fry Pork Belly (Lechon Kawali),2 hours,20 minutes,4 hours 20 minutes,4,3 lbs. pork belly | 8 grams Maggi Magic Sarap | 6 cups water | 1 tablespoon whole peppercorn | 5 dried bay leaves | 4 cups cooking oil,"Combine pork belly, water, whole peppercorn and dried bay leaves in a wide cooking pot. Cover and let boil. | Adjust the heat to a simmer. Continue cooking for 1 1/2 to 2 hours. | Remove the pork from the cooking pot. Place it on a plate and let it cool down. | Rub Maggi Magic Sarap all over the pork belly. | Soak it under the sun until the skin completely dries. | Heat the oil in a wok. Once the oil gets hot, carefully deep fry the pork belly until the outer part becomes golden brown and crispy. | Remove from the wok and put it over a wire rack. Let it cool down. | Slice into serving pieces. Serve with lechon sauce. Share and enjoy!",pork | whole peppercorn | dried bay leave
Paksiw Na Baboy,15 minutes,1 hour 10 minutes,1 hour 25 minutes,4,2 lbs. pork belly sliced into cubes | 1 head  garlic crushed | 4 tablespoons soy sauce | 1 cup water | 6 tablespoons white vinegar | 1/4 cup brown sugar | 100 grams banana blossoms | 3 pieces dried bay leaves | 1 tablespoon whole peppercorn | 4 grams Maggi Magic Sarap,"Sear the pork until it browns, and enough oil gets extracted. | Add the garlic. Saut for 1 minute. | Pour soy sauce and water. Let it boil. | Add bay leaves and whole peppercorn. Cover the cooking pot. Adjust to a simmer and continue cooking for 30 minutes. | Adjust the heat setting between low and medium. Add vinegar. Let it boil. Stir. | Add the banana blossoms. Adjust the heat to the lowest setting. Continue to cook for 30 minutes. | Add brown sugar and season with Maggi Magic Sarap. | Serve hot. Share and enjoy!",pork | brown sugar | banana blossom | dried bay leave | whole peppercorn
Filipino Chicken Adobo Recipe,5 minutes,35 minutes,40 minutes,4,2 lbs chicken (note 1) | 3 pieces dried bay leaves (note 2) | 4 tablespoons soy sauce (note 3) | 6 tablespoons white vinegar (note 4) | 5 cloves garlic (note 5) | 1 1/2 cups water | 3  tablespoons cooking oil | 1 teaspoon sugar (note 6) | 1/4 teaspoon salt  (note 7) | 1  teaspoon whole peppercorn (note 8),"Combine chicken, soy sauce, and garlic in a large bowl. Mix well. Marinate the chicken for at least 1 hour. Note: the longer the time, the better | Heat a cooking pot. Pour cooking oil. | When the oil is hot enough, pan-fry the marinated chicken for 2 minutes per side. | Pour-in the remaining marinade, including garlic. Add water. Bring to a boil | Add dried bay leaves and whole peppercorn. Simmer for 30 minutes or until the chicken gets tender | Add vinegar. Stir and cook for 10 minutes. | Put-in the sugar, and salt. Stir and turn the heat off.Serve hot. Share and Enjoy!",chicken | dried bay | whole peppercorn
Laing Fried Rice Recipe,5 minutes,15 minutes,20 minutes,5,5 cups white rice preferably leftovers | 1 cup laing cooked | 6 cloves garlic crushed | 4 tablespoons cooking oil | 1/2 cup toasted anchovies tustadong dilis | 1/4 teaspoon salt | 3 chili peppers optional,Combine salt and rice in a bowl. Gently mix until well blended. | Heat the oil in a wide pan. | Add the garlic once the oil gets hot. Cook until light brown. | Put the laing in the pan. Stir and cook for 2 minutes. | Add the rice. Continue to cook for 5 to 8 minutes. Stir fry the rice until it blends well with the rest of the ingredients. | Add the toasted anchovies. Stir and cook for 1 minute. | Transfer to a serving plate. Top with red chili. | Serve. Share and enjoy!,white rice | cooked | anchovies tustadong dili | chili pepper
Tastylicious Adobong Pusit Recipe,10 minutes,25 minutes,35 minutes,5,"3 lbs. small to medium sized squid cleaned and sliced | 2 medium ripe tomato diced | 1 medium red onion sliced into small pieces | 1 head garlic crushed | 1/2 cup soy sauce | 4 tablespoons white vinegar | 1 teaspoon granulated white sugar | 1 teaspoon squid ink tinta de calamar or cuttlefish ink, mixed with 3 tablespoons water (optional ingredient) | 3/4 cup water | 3 tablespoons cooking oil | Salt and ground black pepper to taste","Heat oil in a pot. | Once the oil becomes hot, saute garlic until it turns light brown. | Add onion and tomato. Saute until the onion gets soft | Add the squid. Saut for 2 to 3 minutes | Remove the squid from the pan and place in a clean bowl.Set aside. | Pour soy sauce and water into the pan. Let boil. | Add vinegar. Let the liquid re-boil. Stir and cover the pan. Continue to cook in medium heat for 3 to 5 minutes. | Add the sauted squid back in the pan along with sugar, salt, and ground black pepper. Stir. Continue to cook for 2 minutes. Note: do not overcook the squid to retain its tender texture. | Using a slotted spoon or a spider strainer, remove the squid from the cooking pot leaving the liquid behind. Arrange the squid in a bowl. Continue to cook the liquid until it reduces to half. | Pour the thick liquid into the serving bowl with the squid. Toss. | Serve with white rice. Share and enjoy!",squid | tomato | squid ink tinta
Pork Adobo Recipe,10 minutes,1 hour,1 hour 10 minutes,4,2 lbs pork belly (note 1) | 2 tablespoons garlic (note 2) | 5  dried bay leaves (note 3) | 4 tablespoons vinegar (note 4) | 1/2 cup soy sauce (note 5) | 1 tablespoon peppercorn (note 6) | 2 cups water |  Salt to taste,"Combine the pork belly, soy sauce, and garlic then marinade for at least 1 hour | Heat the pot and put-in the marinated pork belly then cook for a few minutes | Pour remaining marinade including garlic. | Add water, whole pepper corn, and dried bay leaves then bring to a boil. Simmer for 40 minutes to 1 hour | Put-in the vinegar and simmer for 12 to 15 minutes | Add salt to taste | Serve hot. Share and enjoy!",pork | dried bay | peppercorn
